공고명,관련,호
해남교도소 급식용 수산물 72종 구입공고,2,9
해남교도소 급식용 공산품 290종 구입공고,2,9
해남교도소 급식용 축산물 26종  구입공고,2,9
2026년도 수용자 자비구매물품 화장품류(8종) 입찰,1,21
2026년도 수용자 자비구매물품 다류 입찰,1,19
2026년도 수용자 자비구매물품 디카페인 커피 입찰,1,19
2026년도 수용자 자비구매물품 이온음료 입찰,1,19
2026년도 수용자 자비구매물품 소시지 입찰,1,19
2026년도 수용자 자비구매물품 초콜릿가공품(2종) 입찰,1,19
"2026년 수용자 자비구매물품 생활용품(치약,칫솔)입찰",1,19
2026년도 수용자 자비구매물품 멸균우유 입찰,1,19
2026년도 수용자 자비구매물품 참기름 입찰,1,19
2026년도 수용자 자비구매물품 사탕 입찰,1,19
2026년도 수용자 자비구매물품 생활용품(섬유유연제) 입찰,1,19
"2026년도 수용자 자비구매물품 생활용품(샴푸,린스,폼클렌징) 입찰",1,19
2026년도 수용자 자비구매물품 농후발효유 입찰,1,19
2026년도 수용자 자비구매물품 참치 입찰,1,19
2026년도 수용자 자비구매물품 탄산음료(2종) 입찰,1,19
2026년도 수용자 자비구매물품 두유 입찰,1,19
2026년도 수용자 자비구매물품 빵류 입찰,1,19
2026년도 수용자 자비구매물품 간장 입찰,1,19
2026년도 수용자 자비구매물품 커피류 3종 입찰,1,19
2026년도 수용자 자비구매물품 용기면류 입찰,1,19
"2026년도 수용자 자비구매물품 과자류(스낵,비스킷) 입찰",1,19
2026년도 수용자 자비구매물품 생수 입찰,1,19
"대전교도소 식자재(달걀)구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"대전교도소 식자재(절임류)구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"대전교도소 식자재(닭고기 등) 구매 2단계(규격, 가격 동시)입찰 공고",2,9
"대전교도소 식자재(축산물)구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"대전교도소 식자재(수산물)구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"부산구치소 급식용 절임류 구매 2단계(가격, 규격 동시) 단가 계약",2,9
2025 국제경쟁네트워크 카르텔 총회 행사 대행 ,1,69
울산구치소 부식물(수산물 2차) 단가 계약,2,9
"진주교도소 급식용 농산물 2차 구매(규격,가격 동시) 입찰공고",2,9
천안교도소 급식용 김치류 구매,2,9
경주교도소 부식물(농수산물)구매 2단계(규격가격동시)입찰공고,2,9
인천구치소 급식용 김치류 구매 입찰,2,9
인천구치소 급식용 농산물 구매 입찰,2,9
서울구치소 급식용 수산물 구매,2,9
서울구치소 급식용 농산물 구매,2,9
의정부교도소 급식용 농산물 구매,2,9
위탁소년 급식용 부식류 290종 구매,2,9
서울남부교도소 급식용 김치 구매 입찰 공고,2,9
"서울남부교도소 급식용 농산물 구매 2단계경쟁(규격,가격동시) 입찰 공고",2,9
공주교도소 장류생산용  소맥분 구매 소액수의 견적제출 안내 공고,2,9
안양소년원 학생식당 급식용 식자재 구매,2,9
서울구치소 급식용 김치류 구매,2,9
화성직업훈련교도소 급식용 수산물 구매,2,9
천안교도소 급식용 농산물 구매,2,9
창원교도소 급식용 우유(우유 등 10종) 2단계 단가계약 입찰공고,2,9
창원교도소 급식용 수산물(가자미 등 69종) 2단계 단가계약 입찰공고,2,9
창원교도소 급식용 공산품(가스오부시 등 317종) 2단계 단가계약 입찰공고,2,9
화성직업훈련교도소 급식용 농산물 구매,2,9
서울동부구치소 급식용 수산물 구매입찰,2,9
서울동부구치소 급식용 농산물 구매입찰,2,9
천안교도소 급식용 공산품 구매,2,9
경북북부교정시설 급식용 공산품 구매 2단계(규격가격동시) 입찰 공고,2,9
"순천교도소 급식용 식품(공산 및 가공품 213종)2단계 경쟁(규격,가격) 입찰",2,9
청주여자교도소 급식용 김치류 구매입찰 공고,2,9
청주여자교도소 급식용 수산물 구매 2단계(규격·가격 동시)입찰 공고,2,9
"청주여자교도소 급식용 농산물 구매 2단계(규격,가격 동시)입찰 공고",2,9
청주여자교도소 급식용 축산물 구매 2단계(규격·가격 동시)입찰 공고,2,9
청주여자교도소 급식용 유제품 구매 2단계(규격·가격 동시)입찰 공고,2,9
"청주여자교도소 급식용 공산품 구매 2단계(규격,가격 동시) 입찰",2,9
25년_하반기_대전교도소_논산지소_식자재(공산품 등)_입찰,2,9
청주교도소 급식용 농산물 구매 입찰 공고,2,9
"부산교도소 급식용 공산품(가래떡 등 222종) 구매 2단계(규격,가격동시) 입찰 공고",2,9
2025년 대전교도소 논산지소 김치류(8종) 구매 입찰 공고,2,9
청주교도소 급식용 김치류 구매 입찰 공고,2,9
영월교도소(대체복무교육센터 포함) 급식용 공산품(수산물 포함) 구매 입찰,2,9
김천소년교도소 부식물(축산물) 구매 계약,2,9
2025년 하반기 원주교도소 수용자 급식재료(농산물),2,9
수원구치소 평택지소 식자재(농수축산뭉 등) 구매 입찰,2,9
급식용 수산물 74종 구매,2,9
급식용 농산물 82종 구매,2,9
경주교도소 급식용 김치류 구매입찰 공고,2,9
"서울남부구치소 급식용 축산물47종 구매 2단계(규격,가격 동시) 입찰 공고",2,9
급식용 축산물 29종 및 달걀 구매,2,9
경북북부제1교도소 급식용 수산물 구매 2단계(규격·가격 동시) 입찰 공고,2,9
경북북부제1교도소 김치류 (배추김치 등 4종)구매 입찰공고,2,9
수원구치소 급식용 절임류 구매 2단계 경쟁 입찰,2,9
"서울남부구치소 급식용 절임류20종 구매 2단계(규격,가격동시) 입찰 공고",2,9
포항교도소 급식용 축산물 구매 입찰,2,9
포항교도소 급식용 농산물 구매입찰,2,9
포항교도소 급식용 공산품 구매입찰,2,9
"대전교도소 식자재(콩나물) 규격 가격 동시 입찰(변경, 긴급 공고)",2,9
2025년 하반기 원주교도소 수용자 급식재료 입찰공고(축산물),2,9
"경북북부교정시설 급식용 수산물 구매 2단계 입찰(규격, 가격 동시)",2,9
25년도 하반기 원주교도소 수용자 급식재료 입찰공고(공산품),2,9
수원구치소 급식용 축산물 구매2단계 경쟁 입찰,2,9
인천구치소 급식용 축산물 및 달걀 구매 입찰,2,9
경북북부교정시설  급식용 절임류 구매 2단계(규격가격 동시) 입찰 공고,2,9
인천구치소 급식용 수산물 구매 입찰,2,9
춘천소년원 직원식당 위탁운영(이동급식 가능),2,9
대전교도소 식자재(공산품) 규격 가격 동시 입찰,2,9
대전교도소 식자재(유제품) 규격  가격 동시 입찰,2,9
"대전교도소 식자재(뿌리채소) 규격, 가격 동시 입찰",2,9
"대전교도소 식자재(잎채소) 규격, 가격 동시 입찰",2,9
"대전교도소 식자재(건어물) 규격, 가격 동시 입찰",2,9
창원교도소 급식용 김치(배추김치 등 7종) 입찰공고,2,9
"전주교도소 급식용 수산,건어물 구매2단계 입찰 공고",2,9
청주교도소 급식용 수산물 구매 입찰 공고,2,9
전주교도소 급식용 공산품 구매2단계 입찰공고,2,9
전주교도소 급식용 농산물 구매2단계 입찰 공고,2,9
여주교도소 급식용 김치류 구매 입찰공고,2,9
여주교도소 급식용 수산물 구매 입찰공고,2,9
여주교도소 급식용 농산물 구매 입찰공고,2,9
2025년 하반기 밀양구치소 급식용 식자재(김치류) 구매 입찰 공고,2,9
2025년 하반기 밀양구치소 급식용 식자재(농산물 등) 구매 입찰 공고,2,9
2025년 하반기 밀양구치소 급식용 식자재(공산품 등) 구매 입찰 공고,2,9
보호외국인 급식용 식자재(축산품) 납품 계약 조달 입찰 공고,2,9
보호외국인 급식용 식자재(빵류) 납품 계약 조달 입찰 공고,2,9
보호외국인 급식용 식자재(농/수산물) 납품 계약 조달 입찰 공고,2,9
보호외국인 급식용 식자재(김치류) 납품 계약 조달 입찰 공고,2,9
보호외국인 급식용 식자재(공산품) 납품 계약 조달 입찰 공고,2,9
"서울남부구치소 급식용 농산물 80종 구매2단계(규격,가격동시) 입찰공고",2,9
부산교도소 급식용 농산물 구매 2단계(규격·가격 동시) 입찰 공고,2,9
"경북북부교정시설 급식용 축산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
부산교도소 급식용 수산물 구매 2단계[규격가격동시] 입찰공고,2,9
부산교도소 급식용 축산물 구매 2단계[규격가격동시] 입찰공고,2,9
수원구치소 급식용 유제품 구매 2단계 경쟁 입찰 공고,2,9
국립법무병원 2025년 3분기 급식용 농산물 34종 구매(긴급),2,9
국립법무병원 2025년 3분기 급식용 공산품 99종 구매(긴급),2,9
국립법무병원 2025년 3분기 급식용 축산물 12종 구매(긴급),2,9
국립법무병원 2025년 3분기 급식용 김치류 6종 구매(긴급),2,9
급식용 공산품 223종 구매,2,9
서울남부구치소 급식용 김치류 10종 구매 입찰공고,2,9
대전소년원 학생식당 급식용 식자재 구매,2,9
공주교도소 장류작업장 수입산 건고추 구매 입찰 공고 ,1,19
절임류 13종 구매,1,19
창원교도소 급식용 농산물(가지등 46종),2,9
2025년 화성외국인보호소 급식용 축산물 구매,2,9
서울구치소 급식용 축산물 구매,2,9
정읍교도소 급식용 수산물 구매 2단계 경쟁(규격가격동시) 입찰공고,2,9
제주교도소 급식용 축산물류 입찰 공고 품목,2,9
제주교도소 급식용 수산물류 입찰 공고 ,2,9
제주교도소 급식용 농산물류 입찰 공고 품목,2,9
제주교도소 급식용 공산품류 구매 2단계(규격/가격 동시) 입찰 공고,2,9
부산구치소 급식용 부식물(닭고기 등 39종) 구매 단가계약,2,9
2025년 하반기 강원북부교도소 급식용 수산품 구매 입찰,2,9
2025년 하반기 강원북부교도소 급식용 농산품 구매 입찰,2,9
2025년 하반기 강원북부교도소 급식용 김치류 구매 입찰,2,9
2025년 하반기 강원북부교도소 급식용 축산품 구매 입찰,2,9
2025년 하반기 강원북부교도소 급식용 공산품 구매 입찰,2,9
김치류 10종 구매,1,19
급식용 공산품 223종 구매 입찰,2,9
"진주교도소 급식용 공산품 3차 구매(규격,가격 동시) 입찰공고",2,9
춘천교도소 급식용 농산물 구매 입찰,2,9
냉동식품 및 양곡류 106종 구매 입찰,1,19
정읍교도소 급식용 농산물 구매 2단계 경쟁(규격가격동시) 입찰공고,2,9
장흥교도소 급식용 김치류 (막김치 등 7종) 구매 입찰 공고,2,9
2025년 청주소년원 하반기 학생 급식물품 구매,2,9
목포교도소 급식용 수산물(가자미 등 85종) 구매,2,9
목포교도소 급식용 농산물(감자 등 55종) 구매,2,9
울산구치소 부식물(축산물 31종) 구매 단가 계약,2,9
강릉교도소 직영 작업장 육포 구매,1,19
"서울남부교도소 급식용 공산품구매 2단계 경쟁(규격,가격동시) 입찰 공고",2,9
2025년도 하반기 홍성교도소 식자재(공산품) 구매 입찰 공고,2,9
대전소년원 학생식당 급식용 양곡(백미) 구매,2,9
부산구치소 2025년도 하반기 수용자 자비구매물품(과일류 6종) 구매 단가계약,1,19
2025년도 하반기 공주교도소 식품류(김치류) 구매 입찰 공고,2,9
2025년도 하반기 공주교도소  식품류(공산품 등) 구매  2단계(규격·가격 동시)입찰 공고,2,9
2025년도 하반기 공주교도소  식품류(농수축산물) 구매  2단계(규격·가격 동시)입찰 공고,2,9
장흥교도소 급식용 축산물 (닭가슴살 등 29종) 구매 입찰 공고,2,9
장흥교도소 급식용 수산물 (냉동가오리 등 72종) 구매 입찰 공고,2,9
장흥교도소 급식용 공산품 (가공유 등 344종) 구매 입찰 공고,2,9
수원구치소 급식용 공산품(냉동) 구매,2,9
수원구치소 급식용 공산품(냉장) 구매,2,9
대구교도소 식자재(김치류) 구매 입찰 공고,2,9
2025년 하반기 수용자 자비구매물품 과일류(6종) 입찰 공고,1,19
수원구치소 급식용 수산물 구매 2단계 경쟁 입찰 공고,2,9
수원구치소 급식용 농산물 구매 2단계 경쟁 입찰 공고,2,9
경북북부교정시설 급식용 공산품 구매 2단계(규격 가격 동시) 입찰 공고,2,9
경북북부교정시설 급식용 김치류(7종) 전자입찰 공고,2,9
서울남부구치소 직원 급식용 양곡 소액수의 견적제출 안내공고,2,9
창원교도소 급식용 공산품(가스오부시 등 315종) 2단계 단가계약 입찰공고,2,9
춘천소년원 학생식당 식재료 구입 입찰,2,9
창원교도소 급식용 축산물(닭고기 등 23종) 2단계 단가게약 입찰공고,2,9
천안교도소 급식용 공산품 구매 2단계 입찰공고,2,9
2025 제43차 APCCA행사 대행 PCO,1,69
국립법무병원 급식용 양곡 2종 구매 입찰 공고(긴급),2,9
전주교도소 급식용 축산물 구매 2단계 입찰 공고,2,9
부산구치소 급식용 수산물(가자미 등 70종) 구매 2단계 단가계약,2,9
충주구치소 급식용 김치류 구매,2,9
김천소년교도소 부식물(김치류) 구매계약,2,9
2025년 전주소년원 학생식당 부식류 구매,2,9
의정부교도소 급식용 공산품 구매,1,24
통영구치소 급식용 공산품 구매 입찰 공고,1,24
공주교도소 장류제품  택배운송용역 소액수의 견적제출 안내 공고,2,35
경주교도소 급식용 공산품 구매 입찰공고,1,24
"서울남부교도소 급식용 수산물 구매 2단계(규격,가격동시) 입찰 공고",1,24
순천교도소 축산물 2단계 경쟁(규격.가격 동시) 입찰 ,1,24
"순천교도소 수산물 2단계 경쟁(규격, 가격 동시) 입찰",1,24
목포교도소  급식용 배치김치(포기김치 등 2종),1,24
"서울남부구치소 급식용 수산물 73종 구매 2단계(규격,가격동시) 입찰 공고",1,24
대전교도소 식자재(김치류) 구입 입찰 공고(긴급),1,24
"김천소년교도소 부식물(농산물, 양곡류) 구매계약",1,1
"김천소년교도소 부식물(공산물, 수산물) 구매계약",1,24
진주교도소 급식용 김치류 1차 구매(적격심사 제한경쟁) 입찰,1,24
군산교도소 급식용 수산물(가자미 등 48종) 구매 관련 규격 · 가격 동시 입찰 공고,1,24
"거창구치소 급식용 농공수산물 구매 2단계[가격, 규격동시] 입찰공고",1,24
거창구치소 급식용 축산물 구매 2단계(규격·가격 동시) 입찰 공고,1,24
2025년 상반기 부산소년원 학생식당 부식구매 건,1,24
2025년도 국립법무병원 직원식당 위탁운영 용역 입찰,2,29
2025년 보호외국인 급식용 공산품 구매,1,24
군산교도소 급식용 공산품(간장 등 213종) 구매 관련 규격 · 가격 동시 입찰 공고,1,24
강릉교도소 급식용 축산류 구매 입찰,1,24
강릉교도소 급식용 수산물 구매 입찰 ,1,24
강릉교도소 급식용(농산물) 구매 입찰,1,1
강릉교도소 급식용 공산품 구매 입찰,1,24
목포교도소 급식용 공산품(간장 등 151종),1,24
목포교도소  급식용 배치김치(포기김치 등 2종) 구매,1,24
여주교도소 급식용 공산품 구매 입찰공고,1,24
여주교도소 급식용 냉동식품 구매 입찰공고,1,24
전주교도소 급식용 유제품 구매 2단계 입찰 공고,1,24
부산구치소 급식용 농산물(감자 등 77종) 구매 2단계,1,1
울산구치소 부식물(김치류 7종) 구매단가 계약 입찰 공고,1,24
충주구치소 급식용 축·수산물 구매 2단계(규격·가격 동시)입찰 ,1,24
충주구치소 급식용 농산물 구매 2단계(규격·가격 동시)입찰 ,1,1
충주구치소 급식용 공산품 구매 2단계(규격·가격 동시)입찰 ,1,24
"2025년 상주교도소 급식용 수산물(규격,가격동시) 입찰 공고",1,24
"2025년 상주교도소 급식용 축산물 구매 2단계(규격,가격동시) 입찰 공고",1,24
2025년 상주교도소 급식용 김치류 구매 입찰 공고,1,24
"2025년 상주교도소 급식용 공산품 구매 2단계(규격,가격동시) 입찰 공고",1,24
"2025년 상주교도소 급식용 농산물 구매 2단계(규격,가격동시) 입찰 공고",2,9
국립법무병원 2025년 2분기 급식용 농산물 38종 구매,2,9
"서울남부구치소 급식용 공산품 413종 구매2단계(규격,가격동시)입찰 공고",2,9
서울남부교도소 급식용 축산물 2단계 경쟁(규격가격동시) 입찰 공고,2,9
경북북부교정시설 급식용 절임류 구매 2단계(규격가격동시) 입찰 공고,2,9
청주교도소 급식용 공산품 구매 입찰 공고(긴급),2,9
통영구치소 급식용(김치류) 구매 입찰,2,9
인천구치소 급식용 공산품 227종 구매 입찰공고,2,9
국립법무병원 2025년 2분기 급식용 농산물 38종 구매(긴급),2,9
"경북북부교정시설 급식용 양곡류 구매 2단계 입찰 공고(규격, 가격동시)",2,9
화성직업훈련교도소 공산품 구매,2,9
광주교도소 화물운송용역 소액수의 견적제출 안내 입찰공고,2,34
"경주교도소 급식용 축산물 구매 2단계(규격,가격동시) 입찰공고",2,9
창원교도소 직원급식용 양곡류(일반미 등 4종) 구매 입찰 공고,2,9
"대전교도소 식자재(수산물류)2단계(규격, 가격동시) 입찰",2,9
2025년 보호외국인 급식용 김치류 입찰,2,9
"대전교도소 식자재(절임류)2단계(규격, 가격동시) 입찰",2,9
"대전교도소 식자재(축산물)2단계(규격, 가격동시)입찰",2,9
"대전교도소 식자재(닭고기)2단계(규격, 가격동시) 입찰",2,9
국립법무병원 2025년 2분기 급식용 축산물 13종 구매(긴급),2,9
국립법무병원 2025년 2분기 급식용 김치류 5종 구매(긴급),2,9
국립법무병원 2025년 2분기 급식용 공산품 83종 구매(긴급),2,9
수원구치소 급식용 김치류 구매 입찰,2,9
"진주교도소 급식용 축산물 1차 구매(2단계, 규격 가격 동시) 입찰 공고",2,9
부산교도소 급식용 김치류(배추김치 등 9종) 구매 입찰 공고,2,9
"진주교도소 급식용 수산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"진주교도소 급식용 공산품 2차 구매(규격, 가격 동시) 입찰공고",2,9
공주교도소 장류생산용 한식된장 구매 소액수의 견적제출 안내공고 ,2,9
해남교도소 급식용 공산품 279종 구입 공고,2,9
해남교도소 급식용 축산물  26종 구입 공고,2,9
해남교도소 급식용 농산물 84종 구입 공고,2,9
2025년 상반기  부산소년원 양곡 구매 건 ,2,9
대구구치소 식자재[절임식품] 구매 2단계 입찰[규격 가격 동시] 공고,2,9
2025년도 국립법무병원 직원식당 위탁운영 용역 입찰(긴급),2,29
울산구치소 부식물(수산물 1차) 단가 계약,2,9
2025년 법교육 콘텐츠 제작,2,75
춘천교도소 급식용 축산물(닭고기 등 9종) 구매 입찰 공고,2,9
춘천교도소 급식용 축산물(돼지고기 등 13종) 구매 입찰 공고,2,9
울산구치소 부식물(농산물) 단가 계약,2,9
경북북부교정시설 급식용 축산물 구매 2단계(규격 가격 동시) 입찰 공고,2,9
춘천교도소 급식용 수산물(54종) 구매 입찰 공고,2,9
춘천교도소 급식용 김치류(11종) 구매 입찰 공고,2,9
공주교도소 장류생산용 탈지대두분 구매 소액수의 견적제출 안내공고,2,9
대구구치소 식자재[수산물] 구매  2단계 입찰[규격‧가격 동시] 공고,2,9
대구구치소 식자재[수산물] 구매 2단계 입찰[규격 가격 동시] 공고,2,9
부산구치소 급식용 부식물(콩나물 등 3종) 구매 단가계약,2,9
영월교도소 김치류 구입 입찰,2,9
서울남부교도소 급식용 김치 구매 입찰,2,9
"서울남부교도소 급식용 농산물구매 2단계경쟁(규격,가격동시) 입찰공고",2,9
"서울남부교도소 급식용 유제품구매 2단계경쟁(규격,가격동시) 입찰공고",2,9
서울구치소  급식용 수산물 구매,2,9
제18회 세계인의 날 기념식 및 홍보대행 용역,1,56
공주교도소 장류생산용 수입산 건고추 구매 입찰 공고,2,9
인천구치소 급식용 농산품 34종 구매 입찰,2,9
25년_상반기_대전교도소_논산지소_식자재(공산품)등_입찰,2,9
수원구치소 평택지소 식자재(농수축산물 등) 구매 입찰,2,9
인천구치소 급식용 김치류 10종 구매 입찰,2,9
수원구치소 평택지소 식자재(김치류 5종) 구매 입찰,2,9
부산교도소 급식용 공산품(가래떡 등 216종) 구매 2단계(규격가격동시) 입찰공고,2,9
창원교도소 급식용 우유류(우유등 9종) 2단계 단가계약 입찰공고,2,9
창원교도소 급식용 축산물(닭고기 등 23종)  2단계 단가계약 입찰공고,2,9
창원교도소 급식용 수산물(가자미 등 51종) 2단계 단가계약 입찰공고,2,9
창원교도소 급식용 공산품(가스오부시 등 256종) 2단계 단가계약 입찰공고,2,9
"경주교도소 부식물(농수산물)구매 2단계 [규격,가격 동시]입찰공고",2,9
김천소년교도소 부식물(축산물) 구매계약,2,9
진주교도소 급식용 농산물 구입 계약 (25년 1차),2,9
영월교도소 급식용 축산물 구입 입찰,2,9
영월교도소 급식용 농산물 구입 입찰,2,9
"영월교도소(대체복무교육센터 포함) 공산품, 수산물 입찰",2,9
대구구치소 급식용 유제품 소액수의 전자견적 제출 공고,2,9
경북북부교정시설 급식용 공산품 구매 2단계(규격.가격 동시) 입찰 공고,2,9
"천안교도소 급식용 축산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"천안교도소 급식용 농산물 구매 2단계(가격, 규격 동시) 입찰 공고",2,9
"천안교도소 급식용 수산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"천안교도소 급식용 공산품 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
천안교도소 급식용 김치류 입찰 공고,2,9
급식용 우유류 10종 구매 입찰,1,24
부산구치소 급식용 부식물(배추김치 등 13종) 구매 단가계약,1,24
부산구치소 급식용 부식물(공산품) 및 양곡 구매 2단계,1,24
부산교도소 종이포장박스 구매 입찰 공고,1,46
급식용 농산물 68종 구매 입찰,1,24
경북북부교정시설 급식용 농산물 구매 2단계(규격/가격 동시) 입찰 공고,1,24
인천구치소 급식용 수산물 70종,1,24
급식용 축산물 38종 및 달걀 구매 입찰,1,24
인천구치소 급식용 축산물 27종 및 달걀 구매 공고,1,24
급식용 수산물 88종 구매 입찰,1,24
"서울남부구치소 급식용 축산물 46종 구매2단계(규격,가격동시) 입찰 공고",1,24
"포항교도소 급식용 공산품 구매입찰(규격, 가격 동시 입찰)",1,24
"포항교도소 급식용 축산물 구매 입찰(규격,가격 동시 입찰)",1,24
2025년 2월~2026년 1월 제주소년원 학생급식 부식류 구매,2,9
창원교도소 급식용 김치류(배추김치 등 7종) 구매 입찰공고,1,24
광주교도소 급식용 공산품(가쓰오부시 등 117종) 구,1,24
"서울남부구치소 급식용 절임류 20종 구매2단계(규격,가격동시) 입찰 공고",1,24
25년도 원주교도소 급식용 수산물 구매 입찰 공고,1,24
25년도 상반기 원주교도소 급식용 농산물 구매 입찰 공고,1,24
25년도 상반기 원주교도소 급식용 공산품 구매 입찰 공고,1,24
2025년도 원주교도소 급식용 김치류 구매 입찰 공고,1,24
25년도 상반기 원주교도소 급식용 축산물 구매 입찰 공고,1,24
2025년도 수용자 자비구매물품 참치 입찰,1,24
경주교도소 김치류(4종) 구매입찰,1,24
전주교도소 급식용 농산물 구매 2단계 공고,1,24
부산교도소 급식용 절임류(간장고추지 등 20종) 구매 2단계[규격․가격 동시] 입찰 공고,1,24
"부산교도소 급식용 우유류(우유 등 12종) 구매 2단계[규격,가격동시] 입찰공고",1,24
수원구치소 급식용 축산물 구매 2단계 경쟁 입찰,1,24
부산구치소 급식용 부식물(감자 등 77종) 구매 2단계,1,24
"대전교도소 식자재(공산품 부재료) 규격, 가격 동시 입찰",1,24
"대전교도소 식자재(공산품 주재료) 규격, 가격 동시 입찰",1,24
대전교도소 식자재(김치류) 구매 입찰,1,24
경북북부교정시설 급식용 수산물 구매 2단계(규격 가격 동시) 입찰 공고,1,24
청주교도소 급식용 김치류 구매 입찰 공고(긴급),1,24
청주교도소 급식용 축산물 구매 입찰 공고(긴급),1,24
2025년 밀양구치소 급식용 식자재(축산물) 구매 입찰 공고,1,24
2025년 상반기 밀양구치소 급식용 식자재(김치류) 구매 입찰 공고,1,24
2025년 상반기 밀양구치소 급식용 식자재(농산물+양곡+절임류) 구매 입찰 공고,1,24
2025년 상반기 밀양구치소 급식용 식자재(공산품+수산물) 구매 입찰 공고,1,24
여주교도소 급식용 절임류 구매 입찰공고,1,24
부산교도소 택배 운송용역 입찰 공고,2,35
여주교도소 급식용 유제품류 구매 입찰공고,1,24
원주교도소 내의류 택배 운송용역 입찰 공고,2,35
서울서부지방검찰청 구내식당 (위탁운영자) 선정 모집공고,2,29
수원지방검찰청 안산지청 구내식당 위탁운영자 ,2,29
의정부지방검찰청 고양지청 구내식당 위탁운영자 모집공고,2,29
전주지방검찰청 군산지청 구내식당 위탁 운영자 선정모집공고,2,29
"2025년 전투식량(특전-22형, 10식단) 제조",1,19
"2025년 전투식량(특전-22형, 9식단) 제조",1,19
"2025년 전투식량(특전-22형, 8식단) 제조",1,19
"2025년 전투식량(특전-22형, 7식단) 제조",1,19
"2025년 전투식량(특전-22형, 6식단) 제조",1,19
"2025년 전투식량(특전-22형, 5식단) 제조",1,19
"2025년 전투식량(특전-22형, 4식단) 제조",1,19
"2025년 전투식량(특전-22형, 3식단) 제조",1,19
"2025년 전투식량(특전-22형, 2식단) 제조",1,19
"2025년 전투식량(특전-22형, 1식단) 제조",1,19
"2025년 전투식량(복원-22형, 12식단) 제조",1,19
"2025년 전투식량(복원-22형, 11식단) 제조",1,19
"2025년 전투식량(복원-22형, 10식단) 제조",1,19
"2025년 전투식량(복원-22형, 9식단) 제조",1,19
"2025년 전투식량(복원-22형, 8식단) 제조",1,19
"2025년 전투식량(복원-22형, 7식단) 제조",1,19
"2025년 전투식량(복원-22형, 6식단) 제조",1,19
"2025년 전투식량(복원-22형, 5식단) 제조",1,19
"2025년 전투식량(복원-22형, 4식단) 제조",1,19
"2025년 전투식량(복원-22형, 3식단) 제조",1,19
"2025년 전투식량(복원-22형, 2식단) 제조",1,19
"2025년 전투식량(복원-22형, 1식단) 제조",1,19
(24G323-I) 국외영주권자 등 병사 주거래여행사 용역,1,57
2025년도 사회복무대상 시상식 용역 계약 의뢰,1,69
2025년도 현역병 모범병사 초청 격려행사 용역,1,69
2025년 온라인 보충역 산업기능요원 채용박람회 행사대행,1,69
2025년 현역병 입영문화제 특별행사 용역,1,69
2026년 서울청사 소모성 청소용품 구매,1,19
2026년 정부포상 부상용 손목시계 1차 구매,1,19
"2025년 정부연말선물 구매(햄, 참치세트)",1,19
2025년 정부연말선물 구매(생활용품세트),1,19
2025년 정부연말선물 구매(쌀선물세트),1,19
제107주년 3·1절 기념식 행사 대행,1,69
2026 신년인사회 행사 대행,1,69
제20회 대한민국 자원봉사대상 시상식 및 2026년 세계 자원봉사자의 해 비전 선포식 행사 운영,1,69
2025년 대한민국 우수공무원 포상식 행사 용역,1,69
2025년 대한민국 안전 가족 격려행사 기획 운영,1,69
2025 지방시대엑스포 행사대행 용역의뢰,1,69
제5회 대한민국 착한기부대상 시상식,1,69
2025년 민주주의 콘텐츠 개발,2,75
민주화운동기념관 공연예술 프로그램 제작 대행 사업,2,75
2025년 민주화운동기념관 시민참여프로그램 민주인권 영화제,1,69
2025년 지방규제혁신 우수사례 경진대회 행사운영 대행 용역,1,69
"(기록협력과)2025년 EASTICA 정기총회 및 제4회 국제기록관리포럼 개최,운영 대행 용역",1,69
K민주주의 태국어 콘텐츠 제작 및 현지 세미나 개최,2,75
"2025년 EASTICA 정기총회 및 제4회 국제기록관리포럼 개최,운영 대행 용역",1,69
제15기 국민추천포상 수여식 행사 용역,1,69
2025 세계민주주의의날 기념 국제심포지엄 용역,1,69
2025 세계민주주의의날 기념 국제콘서트 행사대행,1,69
[수의시담] 제24회 국제방재협력세미나 행사 운영,1,69
2025 민주화운동기념관 특별전 연출 및 전시물 제작,1,69
2025 자유민주 마라톤 운영 대행 용역,1,69
2025년 아세안  재난관리 공무원 국내 초청연수 사업,1,69
안전보안관 활동 우수사례 경진대회 기획 운영,1,69
2025년 생활공감정책 참여단 중앙연찬회 행사위탁,1,69
제24회 국제방재협력세미나 행사 운영,1,69
제43회 대통령기 이북도민 체육대회 행사대행 용역,1,69
지방자치인재개발원 개원 60주년 기념행사 용역,1,69
제3회 고향사랑의 날 및 박람회 행사 대행 ,1,69
2025년 대통령기록관 기획전시 연출 용역 사업,1,69
제16회 청소년사회참여발표대회 본선대회 운영,1,69
제21대 대통령 취임행사 대행,1,69
민선 지방자치 30주년 기념사업 행사 대행용역,1,69
579돌 한글날 경축식 행사 대행,1,69
제4357주년 개천절 경축식 행사 대행,1,69
