공고명,사업요약
2025년 서울 브랜드농산물 육성을 위한 포장재(과수) 제작 구매,서울 브랜드농산물 포장재(과수) 제작
2025년 서울구치소 교정공무원 기능성 정복 제작 긴급공고(규격가격동시),서울구치소 교정공무원 기능성 정복 제작
2025년 서울구치소 교정공무원 기능성여름티 제작 긴급공고(규격가격동시),서울구치소 교정공무원 여름티 제작
2025년 서울구치소 교정공무원 슬립온 근무화 제작 긴급공고(규격가격동시),서울구치소 교정공무원 슬립온 근무화 제작
2025년 서울금천경찰서 어린이집 식자재 납품업체선정 입찰공고,서울금천경찰서 어린이집 식자재 납품
2025년 서울브랜드 농산물 육성 지원사업 벼 포장재 제작,서울브랜드 농산물 벼 포장재 제작
"2025년 서울브랜드 농산물 육성을 위한 포장재(채소, 화훼, 양봉) 제작 구매",서울브랜드 포장재(채소·화훼·양봉) 제작
2025년 서울서부지방검찰청 출입통제시스템 리모델링 사업,서울서부지검 출입통제시스템 리모델링
2025년 서울식약청 시험분석용 시약.초자(미생물) 단가계약 입찰공고,서울식약청 시약·초자(미생물) 단가계약
2025년 서울식약청 시험분석용 시약.초자(이화학) 단가계약 입찰공고,서울식약청 시약·초자(이화학) 단가계약
2025년 서울중랑경찰서 노후 가스히트펌프(GHP) 실외기 교체 공사,서울중랑서 노후 GHP 실외기 교체
"2025년 서울지방우정청 국유재산, 주요물품 화재보험 및 영업배상책임보험 일괄 가입",서울지방우정청 화재·영업배상보험 가입
2025년 서울지방우정청 우정사업용 공용차량 자동차보험 일괄가입,서울지방우정청 공용차량 자동차보험
2025년 서울지방우정청 집배우의 구매 긴급공고(규격가격동시),서울지방우정청 집배우의 구매
2025년 서울형 늘봄학교 여름방학 곤충체험 프로그램 곤충체험키트 구매,서울형 늘봄학교 곤충체험키트 구매
2025년 서천군 공유농업 플랫폼 아카데미 프로그램 운영 용역 ,서천군 공유농업 아카데미 운영
2025년 서천출장소 관내 도로안전 및 환경개선(비총액) 실시설계용역,서천출장소 도로안전·환경개선 실시설계
2025년 서해청 경비함정 레이다(SSPA) 구매 교체 설치,서해청 경비함정 레이다 구매·교체설치
2025년 서해청 고정익항공기 CN-235 정비용역 단가계약 수의시담,서해청 CN-235 정비 단가계약
2025년 서해청 대형헬기(S-92) 정비용역 단가계약 ,서해청 대형헬기(S-92) 정비 단가계약
2025년 선도 산림경영단지 홍보 부스 기획 및 설치 용역,선도 산림경영단지 홍보 부스 기획·설치
2025년 선도산림경영단지 고성능 임업기계(임내차) 구매,선도산림경영단지 임업기계(임내차) 구매
2025년 선도산림경영단지 고성능 임업기계(포워더) 구매,선도산림경영단지 임업기계(포워더) 구매
2025년 선도산림경영단지 임업기계(운반트럭 및 트레일러) 구매,선도산림경영단지 운반트럭·트레일러 구매
2025년 설악동야영장 전면개선사업 전기·통신 감리 용역,설악동야영장 전기·통신 감리
2025년 성남중원경찰서 지구대.파출소(6개소) 청소용역,성남중원서 지구대·파출소(6개소) 청소
2025년 성인과학학습 프로그램 「과학과애」 위탁운영 용역,성인과학학습「과학과애」 위탁운영
2025년 세계 민주주의의 날 기념 민주주의 강연회 행사 용역,세계 민주주의의 날 강연회 행사
2025년 세계국가유산산업전 국립경주문화유산연구소 홍보부스 설치,세계국가유산산업전 경주연구소 홍보부스
2025년 소규모 낙도지역 자가회복시설 기초 및 설치공사,소규모 낙도 자가회복시설 기초·설치
2025년 소규모 농산물 유통시설 설치사업 1.6톤 지게차 구입(민간입찰대행),소규모 농산물 유통시설 지게차 구입
2025년 소금강산자동차야영장 정비공사(전기) 물품 구매,소금강산자동차야영장 정비(전기) 물품
2025년 소금강산자동차야영장 정비공사(전기) 물품(2차) 구매,소금강산야영장 정비(전기) 물품 2차
2025년 소나무재선충병 방제자재(그물망 피복제 1RM)  구매 ,재선충병 방제자재(그물망피복제1RM) 구매
2025년 소나무재선충병 방제자재(그물망 피복제 2RM) 구매,재선충병 방제자재(그물망피복제2RM) 구매
2025년 소나무재선충병 훈증더미 제거사업 (야로외지구),재선충병 훈증더미 제거(야로외지구)
2025년 소나무재선충병 훈증더미 제거사업 (청덕외지구) ,재선충병 훈증더미 제거(청덕외지구)
2025년 소득자원연구소 인삼연구분야(시설재배)물품 구입,소득자원연구소 인삼연구 물품 구입
2025년 소면적 재배 농산물의 농약 잔류허용기준 설정 연구,소면적 농산물 농약 잔류허용기준 연구
2025년 소방공무원 승진(필기)시험 문제지 편집·인쇄업무 위탁 용역,소방공무원 승진시험 문제지 편집·인쇄
2025년 소방공무원 승진(필기)시험 문제지 편집·인쇄업무 위탁 용역(수의시담),소방공무원 승진시험 문제지 편집·인쇄
2025년 소방공무원 신규채용 면접시험장 운영부스 등 임차(수의시담),소방공무원 면접시험장 운영부스 임차
2025년 소방악대 국민소통 어울림 연주회 행사 용역(수의시담),소방악대 어울림 연주회 행사
2025년 소방안전 표어·포스터·사진 공모전 전시회 물품 구매,소방안전 표어·포스터·사진 전시회 물품
2025년 소방청 소방공무원 시범운영 피복 구매(수의시담),소방청 시범운영 피복 구매
2025년 소백산 단산저수지~소백산생태탐방원 구간 안내표지판 제작·설치,소백산 안내표지판 제작·설치
2025년 소백산 삼가야영장 정비 관급자재(솔막) 골조공사,소백산 삼가야영장 관급자재(솔막) 골조
2025년 소백산 삼가야영장 정비공사 관급자재(빗물받이) 구매,소백산 삼가야영장 빗물받이 구매
2025년 소백산 삼가야영장 정비공사 관급자재(창호) 구매·설치,소백산 삼가야영장 창호 구매·설치
2025년 소백산 생태계 교란 생물(큰입배스) 포획·제거 및 환경조사 용역 사업,소백산 생태계교란생물(배스) 제거·조사
2025년 소백산 육상탄소흡수원 구축사업지 유지관리 용역,소백산 육상탄소흡수원 유지관리
2025년 소백산 자동기상관측시설(연화봉 AWS) 부품 구매·설치,소백산 자동기상관측시설 부품 구매·설치
2025년 소백산 희방진입도로 침하구간 정비공사 실시설계 용역,소백산 희방진입도로 침하구간 실시설계
2025년 소백산국립공원 공원마을 특화작물(표고버섯 접종목) 지원사업,소백산 공원마을 표고버섯 접종목 지원
2025년 소백산국립공원 생태통로 설치공사 기본 및 실시설계 용역,소백산 생태통로 기본·실시설계
2025년 소백산국립공원 생태통로 설치공사 측량 및 지반조사 용역,소백산 생태통로 측량·지반조사
2025년 소백산북부 남천야영장 개수대 등 편의시설 설치 공사,소백산북부 남천야영장 개수대 등 설치
2025년 소백산북부 남천야영장 부대시설 진입부 데크 설치 공사,소백산북부 남천야영장 데크 설치
2025년 소백산북부 남천야영장 오수처리시설 장비 교체 용역,소백산북부 남천야영장 오수처리 장비교체
2025년 소백산북부 남천야영장 체류형인프라 부대시설 설치 공사,소백산북부 남천야영장 체류인프라 설치
2025년 소백산북부 육상탄소흡수원 구축지 유지관리 용역,소백산북부 육상탄소흡수원 유지관리
2025년 소백산북부 제2연화봉 탐방로 옹벽 정밀 안전점검 용역,소백산북부 제2연화봉 옹벽 안전점검
2025년 소백산북부 제2연화봉 환경저해시설 정비사업 공사,소백산북부 제2연화봉 환경저해시설 정비
2025년 소백산북부 천동탐방안내소 전력공급 선로 교체 공사,소백산북부 천동탐방안내소 전력선로 교체
2025년 소백산북부 탐방안내소 쉼터(파고라) 정비 공사,소백산북부 탐방안내소 파고라 정비
2025년 소백산사무소 청사 신재생에너지(태양광발전시설) 전기 부대공사,소백산사무소 태양광발전 전기 부대공사
2025년 소비자 위해제품 온라인 유통 방지를 위한 감시 및 시정 사업,소비자 위해제품 온라인 유통 감시·시정
2025년 소장품 자료집 - 물고기 잡으로 박물관 갈까요- 제작,소장품 자료집 제작
2025년 속리산 생태계교란어종(배스) 제거 및 수생태계 모니터링 용역,속리산 생태계교란어종(배스) 제거·조사
2025년 속리산 자생식물증식장 인프라  개선 공사(전기),속리산 자생식물증식장 인프라 개선(전기)
2025년 속리산 화북 대형주차장 화장실 부대시설 정비공사,속리산 화북 대형주차장 화장실 정비
2025년 속리산 화북지구 오수관로 설치공사(폐기물처리 용역),속리산 화북지구 오수관로 폐기물처리
2025년 속리산 화북지구 진입도로 정비공사 실시설계 용역,속리산 화북지구 진입도로 실시설계
2025년 속리산 화북지구 진입도로 정비공사(폐기물처리 용역),속리산 화북지구 진입도로 폐기물처리
2025년 솔잎혹파리 방제 예방나무주사사업 제한경쟁 입찰(긴급)공고,솔잎혹파리 예방나무주사
2025년 송천1구마을만들기 지역역량강화사업 용역 견적제출 공고,송천1구 마을만들기 역량강화
2025년 수목치료기술 및 품질 개선 사례 공모전 운영 용역,수목치료기술·품질개선 사례 공모전 운영
2025년 수문조사시설 이설 및 확장공사 등 실시설계용역,수문조사시설 이설·확장 실시설계
2025년 수산과학조사선 운항용 유류구매 단가계약 입찰공고,수산과학조사선 운항용 유류 단가계약
2025년 수산과학조사선(탐구7호 및 탐구11호) 유류구매 단가계약,수산과학조사선 유류구매 단가계약
"2025년 수산과학조사선(탐구7호, 탐구11호) 선박보험",수산과학조사선 선박보험
"2025년 수산생물 방역 분석소모품 정기구매(상반기, 109품목)",수산생물 방역 분석소모품(상반기109품목)
"2025년 수산생물 방역 분석소모품 정기구매(하반기, 49품목)",수산생물 방역 분석소모품(하반기49품목)
2025년 수산생물 방역수행기관 예찰·방역물품(DO 측정키트 등 12품목) 지원,수산생물 방역 예찰물품(DO키트 등 12품목)
2025년 수산생물 방역수행기관 예찰·방역물품(소독발판 등 8품목),수산생물 방역 예찰물품(소독발판 등 8품목)
2025년 수산생물전염병 진단용 양성표준물질 합성 및 제작,수산생물전염병 양성표준물질 합성·제작
2025년 수산생물질병 연구를 위한 염기서열 분석 단가계약,수산생물질병 염기서열 분석 단가계약
2025년 수산종묘 매입 방류사업 추진에 따른 수산생물 치어 구입(다슬기),수산종묘 매입방류 치어 구입(다슬기)
2025년 수산종묘 매입 방류사업 추진에 따른 수산생물 치어 구입(뱀장어),수산종묘 매입방류 치어 구입(뱀장어)
2025년 수산종자 매입방류 수산종자(쏘가리) 구입 – 단가계약 ,수산종자 매입방류(쏘가리) 단가계약
"2025년 수산종자 매입방류 치어(잉어, 붕어, 뱀장어) 구입",수산종자 매입방류 치어(잉어 등) 구입
2025년 수산종자 매입방류사업 수산종자(곳체다슬기) 구입 - 단가계약,수산종자 매입방류(곳체다슬기) 단가계약
2025년 수산종자 방류사업 참게 구입 수의견적 제출 안내,수산종자 방류 참게 구입
2025년 수산종자 방류사업 추진을 위한 다슬기 치패 구입,수산종자 방류 다슬기 치패 구입
2025년 수산종자 방류사업 추진을 위한 대농갱이 치어 구입,수산종자 방류 대농갱이 치어 구입
2025년 수산종자 방류사업 추진을 위한 동자개 치어 구입,수산종자 방류 동자개 치어 구입
2025년 수선상부 페인트 총액구매(공고문 및 특수조건 필독),수선상부 페인트 총액구매
2025년 수술재료 구매 (OPTIVAC VACUUM MIXING SYSTEM 등 8종),수술재료 구매(OPTIVAC 등 8종)
2025년 수술재료 구매( Hot Shears (Monopolar Curved Scissors) 등 11종),수술재료 구매(Hot Shears 등 11종)
2025년 수요부족 및 농업인 희망기종 임대농기계(콩정선기) 구입,임대농기계(콩정선기) 구입
2025년 수용자 카드형 번호표 확대 도입 사업 물품 구입,수용자 카드형 번호표 도입 물품 구입
2025년 수원국토 관내 가로등 및 전기시설 유지보수공사,수원국토 가로등·전기시설 유지보수
2025년 수원국토 관내 과적검문소 보수보강공사(전기·통신),수원국토 과적검문소 보수보강(전기통신)
2025년 수원국토 관내 비탈면 모니터링 시스템 구축 용역,수원국토 비탈면 모니터링 시스템 구축
2025년 수원국토 관내 하반기 병목지점개선 2개소 소규모 재해영향평가용역,수원국토 병목지점 소규모 재해영향평가
2025년 수원국토 관내 하반기 병목지점개선 2개소 소규모 환경영향평가용역,수원국토 병목지점 소규모 환경영향평가
2025년 수원국토 관내 하반기 병목지점개선 2개소 실시설계 VE용역,수원국토 병목지점 실시설계 VE
2025년 수원국토 도로안전운영과 소관 재해예방 기술지도용역(건설분야),수원국토 재해예방 기술지도(건설)
2025년 수원남부경찰서어린이집 식자재 납품 업체 선정 입찰공고,수원남부서 어린이집 식자재 납품
"2025년 수원서부경찰서 지구대, 파출소(총 7개소) 청소용역",수원서부서 지구대·파출소(7개소) 청소
2025년 수인성 식품매개감염병 원인병원체 진단혈청 구매,수인성 식품매개감염병 진단혈청 구매
2025년 수인성 식품매개감염병 원인병원체 진단혈청 구매 계약 요청,수인성 식품매개감염병 진단혈청 구매
"2025년 수인성, 식품매개감염병 원인병원체 진단혈청 구매요청",수인성 식품매개감염병 진단혈청 구매
"2025년 수인성,식품매개감염병 원인병원체 진단혈청 구매(2차)",수인성 식품매개감염병 진단혈청 구매2차
2025년 수인성·식품매개감염병 원인병원체 진단혈청 구매,수인성 식품매개감염병 진단혈청 구매
2025년 수출농산물 집하·선별장 지원사업 토마토 선별기 구입 및 설치(협상에 의한 계약)(입찰대행),수출농산물 토마토 선별기 구입·설치
"2025년 수출선도형 혁신제품 시범구매(2022-104호, 공기살균기)",수출선도형 혁신제품 시범구매(공기살균기)
"2025년 수출선도형 혁신제품 시범구매(2022-117호, 사우나기)",수출선도형 혁신제품 시범구매(사우나기)
"2025년 수출선도형 혁신제품 시범구매(2022-364호, 기타운동경기용구)",수출선도형 혁신제품(기타운동경기용구)
"2025년 수출선도형 혁신제품 시범구매(2022-373호, 의료용소프트웨어)",수출선도형 혁신제품(의료용소프트웨어)
"2025년 수출선도형 혁신제품 시범구매(2022-519호, 분자유전검사용시약)",수출선도형 혁신제품(분자유전검사용시약)
"2025년 수출선도형 혁신제품 시범구매(2023-004호, 기타전문서비스용로봇)",수출선도형 혁신제품(전문서비스용로봇)
"2025년 수출선도형 혁신제품 시범구매(2023-043호, 의료용소프트웨어)",수출선도형 혁신제품(의료용소프트웨어)
"2025년 수출선도형 혁신제품 시범구매(2023-090호, 구강개구기)",수출선도형 혁신제품(구강개구기)
"2025년 수출선도형 혁신제품 시범구매(2023-101호, 인공지능의료영상분석솔루션)",수출선도형 혁신제품(AI의료영상분석)
"2025년 수출선도형 혁신제품 시범구매(2023-162호, 융복합자료수집장치)",수출선도형 혁신제품(융복합자료수집장치)
"2025년 수출선도형 혁신제품 시범구매(2023-167호, 홀로그래피현미경)",수출선도형 혁신제품(홀로그래피현미경)
"2025년 수출선도형 혁신제품 시범구매(2023-188호, 관보온재)",수출선도형 혁신제품(관보온재)
"2025년 수출선도형 혁신제품 시범구매(2023-234호, 의료용소프트웨어)",수출선도형 혁신제품(의료용소프트웨어)
"2025년 수출선도형 혁신제품 시범구매(2023-281호, 융복합감시및탐지장비)",수출선도형 혁신제품(융복합감시탐지장비)
"2025년 수출선도형 혁신제품 시범구매(2024-002호, 벽천장용흡음재)",수출선도형 혁신제품(벽천장용흡음재)
"2025년 수출선도형 혁신제품 시범구매(2024-149호 소화약제, 소방호스용노즐)",수출선도형 혁신제품(소화약제·노즐)
"2025년 수출선도형 혁신제품 시범구매(2024-234호, 우의)",수출선도형 혁신제품(우의)
2025년 수출선도형 혁신제품 시범구매(AI 소셜로봇 리쿠(LiKU)),수출선도형 혁신제품(AI소셜로봇 리쿠)
2025년 수출선도형 혁신제품 시범구매(AI기반 CT 폐질환 정밀분석 솔루션),수출선도형 혁신제품(AI CT폐질환분석)
2025년 수출선도형 혁신제품 시범구매(AI기반 신호분석을 통한 송아지 질병 조기발견 및 정밀사육 시스템),수출선도형 혁신제품(송아지질병 조기발견)
2025년 수출선도형 혁신제품 시범구매(DST 벤츄리(Venturi) 스팀트랩),수출선도형 혁신제품(벤츄리 스팀트랩)
2025년 수출선도형 혁신제품 시범구매(VR로 보는 세계 명소 v2.0),수출선도형 혁신제품(VR 세계명소)
2025년 수출선도형 혁신제품 시범구매(고성능 화재대피 마스크),수출선도형 혁신제품(화재대피 마스크)
2025년 수출선도형 혁신제품 시범구매(광축 보정이 가능한 IR PTZ 카메라),수출선도형 혁신제품(IR PTZ 카메라)
"2025년 수출선도형 혁신제품 시범구매(다기능 보행 재활 로봇 시스템, HUCA-Go)",수출선도형 혁신제품(보행재활 로봇)
2025년 수출선도형 혁신제품 시범구매(도로 날림먼지 자동포집을 통해 안전사고를 예방하는 도로 인프라 기반 융복합 시스템),수출선도형 혁신제품(도로날림먼지 포집)
2025년 수출선도형 혁신제품 시범구매(도로·교통안전시설물 자동 시공 소형건설장비 ),수출선도형 혁신제품(교통안전 시공장비)
2025년 수출선도형 혁신제품 시범구매(리블레스 플라나),수출선도형 혁신제품(리블레스 플라나)
2025년 수출선도형 혁신제품 시범구매(모듈격자식 진공 흡입매트_신발털이기 솔첵),수출선도형 혁신제품(진공흡입 신발털이)
"2025년 수출선도형 혁신제품 시범구매(무기질도막방수재, 기타도막방수재)",수출선도형 혁신제품(도막방수재)
2025년 수출선도형 혁신제품 시범구매(복합 방열구조를 적용한 빛공해 저감형 비대칭 LED투광등기구),수출선도형 혁신제품(빛공해저감 LED투광등)
2025년 수출선도형 혁신제품 시범구매(스마트한 보행신호 음성안내 보조 장치),수출선도형 혁신제품(보행신호 음성안내)
2025년 수출선도형 혁신제품 시범구매(실시간 발전 터빈 진단기),수출선도형 혁신제품(발전터빈 진단기)
2025년 수출선도형 혁신제품 시범구매(실시간 위험경보가 가능한 인공지능센서 기반 스마트 모니터링 시스템),수출선도형 혁신제품(AI 스마트모니터링)
2025년 수출선도형 혁신제품 시범구매(에어팜(AirFarm)),수출선도형 혁신제품(에어팜)
2025년 수출선도형 혁신제품 시범구매(와류스크러빙 혼합 기술을 적용한 탈취장치),수출선도형 혁신제품 시범구매(탈취장치)
2025년 수출선도형 혁신제품 시범구매(외국인을 위한 AI기반 한국어 학습서비스 SW),수출선도형 혁신제품(AI 한국어 학습SW)
2025년 수출선도형 혁신제품 시범구매(의료용 소프트웨어),수출선도형 혁신제품(의료용 SW)
2025년 수출선도형 혁신제품 시범구매(자체 과부하 해결 재난대응형 제진기),수출선도형 혁신제품(재난대응형 제진기)
2025년 수출선도형 혁신제품 시범구매(전/후면 번호판 인식 및 단속이 가능한 고정형 CCTV시스템),수출선도형 혁신제품(번호판인식 CCTV)
2025년 수출선도형 혁신제품 시범구매(전동식 방진마스크),수출선도형 혁신제품(전동식 방진마스크)
"2025년 수출선도형 혁신제품 시범구매(제2023-009호, 제어기시험장치)",수출선도형 혁신제품(제어기시험장치)
"2025년 수출선도형 혁신제품 시범구매(제2023-284호, 드론)",수출선도형 혁신제품 시범구매(드론)
"2025년 수출선도형 혁신제품 시범구매(제2024-038호, 경성후두경)",수출선도형 혁신제품(경성후두경)
2025년 수출선도형 혁신제품 시범구매(제2024-050호 융복합인공지능(AI)소프트웨어),수출선도형 혁신제품(융복합 AI SW)
"2025년 수출선도형 혁신제품 시범구매(제2024-084호, 컨테이너하우스)",수출선도형 혁신제품(컨테이너하우스)
2025년 수출선도형 혁신제품 시범구매(중소형 선박 조종 시뮬레이터 시스템),수출선도형 혁신제품(선박조종 시뮬레이터)
2025년 수출선도형 혁신제품 시범구매(즐겁게 재활훈련 할 수 있는 재활의료기),수출선도형 혁신제품(재활의료기)
2025년 수출선도형 혁신제품 시범구매(친환경 복합탈취기),수출선도형 혁신제품(친환경 복합탈취기)
2025년 수출선도형 혁신제품 시범구매(친환경 수성페인트),수출선도형 혁신제품(친환경 수성페인트)
2025년 수출선도형 혁신제품 시범구매(콘크리트제도로중앙분리대),수출선도형 혁신제품(도로중앙분리대)
2025년 수출선도형 혁신제품 시범구매(탄소발열체를 활용한 친환경 전기 난방패널_탄소전열보드),수출선도형 혁신제품(친환경 전기난방패널)
2025년 수출선도형 혁신제품 시범구매(트럭장착식제설기),수출선도형 혁신제품(트럭장착식 제설기)
2025년 수출선도형 혁신제품 시범구매(해·수역 수질 오염 대응 자동화 로봇),수출선도형 혁신제품(수질오염 대응 로봇)
"2025년 수출선도형(2차) 혁신제품 시범구매(2024-068호, 수경재배장치)",수출선도형(2차) 혁신제품(수경재배장치)
"2025년 수출선도형(2차) 혁신제품 시범구매(2024-230호, 교육용로봇)",수출선도형(2차) 혁신제품(교육용로봇)
"2025년 수출선도형(2차) 혁신제품 시범구매(2024-260호, 질량분석기)",수출선도형(2차) 혁신제품(질량분석기)
"2025년 수출선도형(2차) 혁신제품 시범구매(2024-371호, 시선유도봉)",수출선도형(2차) 혁신제품(시선유도봉)
"2025년 수출선도형(2차) 혁신제품 시범구매(2025-026호, 기타수질분석기)",수출선도형(2차) 혁신제품(수질분석기)
2025년 수출입물류 동향 연차보고 및 보세화물제도 연구,수출입물류 동향 및 보세화물제도 연구
2025년 수해복구사업(춘천2) 제한경쟁 입찰 공고[긴급],수해복구사업(춘천2) 제한경쟁 입찰
2025년 수확 후 과수화상병 확산 방지 방제약제 구입(단가계약),과수화상병 확산방지 방제약제 구입
2025년 순무 디지털 육종 기반 구축  연구용역(협상에 의한 계약),순무 디지털 육종 기반 구축 연구
2025년 순창경찰서 관내 파출소(치안센터 포함) 청소용역 입찰 공고,순창경찰서 관내 파출소 청소
2025년 순천경찰서 지구대 및 파출소 청소용역 입찰 공고,순천경찰서 지구대·파출소 청소
2025년 숲가꾸기 사업(숲1) 지명경쟁 입찰(긴급) 공고,숲가꾸기(숲1) 지명경쟁 입찰
2025년 숲가꾸기 사업(숲2) 지명경쟁 입찰(긴급) 공고,숲가꾸기(숲2) 지명경쟁 입찰
2025년 숲가꾸기 사업(숲3) 지명경쟁 입찰(긴급) 공고,숲가꾸기(숲3) 지명경쟁 입찰
2025년 숲가꾸기 사업(숲4) 지명경쟁 입찰(긴급) 공고,숲가꾸기(숲4) 지명경쟁 입찰
2025년 숲가꾸기(경제림)사업 제1차(기번1) 지명경쟁 입찰공고,숲가꾸기(경제림) 1차(기번1) 입찰
2025년 숲가꾸기(경제림)사업 제1차(기번2) 지명경쟁 입찰공고,숲가꾸기(경제림) 1차(기번2) 입찰
2025년 숲가꾸기(경제림)사업 제1차(기번3) 지명경쟁 입찰공고,숲가꾸기(경제림) 1차(기번3) 입찰
2025년 숲가꾸기(경제림)사업 제1차(기번3) 지명경쟁 입찰공고 (2차),숲가꾸기(경제림) 1차(기번3) 입찰 2차
2025년 숲가꾸기(경제림)사업 제1차(기번4) 지명경쟁 입찰공고,숲가꾸기(경제림) 1차(기번4) 입찰
2025년 숲가꾸기(경제림)사업 제1차(기번4) 지명경쟁 입찰공고(2차),숲가꾸기(경제림) 1차(기번4) 입찰 2차
2025년 숲가꾸기(경제림가꾸기)사업(기번1-2) 지명경쟁,숲가꾸기(경제림가꾸기) 기번1-2 지명경쟁
2025년 숲가꾸기(경제림가꾸기)사업(기번2-1) 지명경쟁,숲가꾸기(경제림가꾸기) 기번2-1 지명경쟁
2025년 숲가꾸기(덩굴류제거)사업 14차 지명경쟁입찰 공고,숲가꾸기(덩굴류제거) 14차 지명경쟁
2025년 숲가꾸기(덩굴류제거)사업 15차 지명경쟁입찰 공고 ,숲가꾸기(덩굴류제거) 15차 지명경쟁
2025년 숲가꾸기(덩굴류제거)사업 16차 지명경쟁입찰 공고 ,숲가꾸기(덩굴류제거) 16차 지명경쟁
2025년 숲가꾸기(덩굴류제거)사업 실시설계용역 4차(수의시담),숲가꾸기(덩굴류제거) 실시설계 4차
2025년 숲가꾸기(어린나무가꾸기)사업 5차 지명경쟁입찰 공고 ,숲가꾸기(어린나무가꾸기) 5차 지명경쟁
2025년 숲가꾸기(어린나무가꾸기)사업 6차 지명경쟁입찰 공고 ,숲가꾸기(어린나무가꾸기) 6차 지명경쟁
2025년 숲가꾸기(어린나무가꾸기)사업 7차 지명경쟁입찰 공고 ,숲가꾸기(어린나무가꾸기) 7차 지명경쟁
2025년 숲가꾸기(어린나무가꾸기)사업(기번1) 입찰공고,숲가꾸기(어린나무가꾸기) 기번1 입찰
2025년 숲가꾸기(어린나무가꾸기)사업(기번2) 입찰공고,숲가꾸기(어린나무가꾸기) 기번2 입찰
2025년 숲가꾸기(어린나무가꾸기)사업(기번3) 입찰공고,숲가꾸기(어린나무가꾸기) 기번3 입찰
2025년 숲가꾸기(어린나무가꾸기)사업(기번4) 입찰공고,숲가꾸기(어린나무가꾸기) 기번4 입찰
"2025년 숲가꾸기(어린나무가꾸기, 솎아베기)사업 실시설계 용역",숲가꾸기(어린나무·솎아베기) 실시설계
2025년 숲가꾸기(풀베기 11~13차)사업 실시설계용역 3차(수의시담),숲가꾸기(풀베기11~13차) 실시설계 3차
2025년 숲가꾸기(풀베기 9차)사업 감리용역 5차(수의시담),숲가꾸기(풀베기9차) 감리 5차
2025년 숲가꾸기(풀베기 제2차 및 덩굴류제거)사업 (기번2),숲가꾸기(풀베기2차·덩굴류제거) 기번2
2025년 숲가꾸기(풀베기 제2차 및 덩굴류제거)사업 (기번3),숲가꾸기(풀베기2차·덩굴류제거) 기번3
2025년 숲가꾸기(풀베기 제2차 및 덩굴류제거)사업 (기번4),숲가꾸기(풀베기2차·덩굴류제거) 기번4
2025년 숲가꾸기(풀베기 제2차 및 덩굴류제거)사업(기번1),숲가꾸기(풀베기2차·덩굴류제거) 기번1
2025년 숲가꾸기(풀베기)사업 10차 감리용역 6차(수의시담),숲가꾸기(풀베기) 10차 감리 6차
2025년 숲가꾸기(풀베기)사업 10차 실시설계용역 2차(수의시담) ,숲가꾸기(풀베기) 10차 실시설계 2차
2025년 숲가꾸기(풀베기)사업 10차 지명경쟁입찰 공고 ,숲가꾸기(풀베기) 10차 지명경쟁
2025년 숲가꾸기(풀베기)사업 11차 지명경쟁입찰 공고,숲가꾸기(풀베기) 11차 지명경쟁
2025년 숲가꾸기(풀베기)사업 12차 지명경쟁입찰 공고 ,숲가꾸기(풀베기) 12차 지명경쟁
2025년 숲가꾸기(풀베기)사업 13차 지명경쟁입찰 공고,숲가꾸기(풀베기) 13차 지명경쟁
2025년 숲가꾸기(풀베기)사업 8차 실시설계용역 2차(수의시담) ,숲가꾸기(풀베기) 8차 실시설계 2차
2025년 숲가꾸기(풀베기)사업 9차 실시설계용역 2차(수의시담) ,숲가꾸기(풀베기) 9차 실시설계 2차
2025년 숲가꾸기(풀베기)사업 9차 지명경쟁입찰 공고 ,숲가꾸기(풀베기) 9차 지명경쟁
2025년 숲가꾸기(풀베기)사업(기번1) 입찰공고(긴급),숲가꾸기(풀베기) 기번1 입찰
2025년 숲가꾸기(풀베기)사업(기번2) 입찰공고(긴급),숲가꾸기(풀베기) 기번2 입찰
2025년 숲가꾸기(풀베기)사업(기번3) 입찰공고(긴급),숲가꾸기(풀베기) 기번3 입찰
2025년 숲가꾸기사업(기번21_공익림) 지명경쟁 입찰공고,숲가꾸기(기번21 공익림) 지명경쟁
2025년 숲길 조성 및 등산로 정비 사업(대룡산~명봉~구봉산),숲길 조성·등산로 정비(대룡산~구봉산)
2025년 스마트농업 기계화 촉진을 위한 드론 위탁교육 용역,스마트농업 드론 위탁교육
2025년 스마트농장형 치유농업교육장 전기온풍기 구매 설치,치유농업교육장 전기온풍기 구매설치
2025년 스마트농장형 치유농업교육장(강동) 딸기정식 재료 구입,치유농업교육장(강동) 딸기정식 재료
2025년 스마트농장형 치유농업교육장(서초) 딸기정식 재료 구입,치유농업교육장(서초) 딸기정식 재료
"2025년 스마트도시 조성사업(거점형, 강소형) 관리 및 운영지원",스마트도시 조성 관리·운영지원
2025년 스마트시티 규제샌드박스 활성화 사업관리 및 운영지원,스마트시티 규제샌드박스 관리·운영지원
2025년 스마트시티 데이터허브 네트워크 강화 사업관리 및 운영지원 위탁,스마트시티 데이터허브 네트워크 강화
2025년 스마트시티 혁신기술 발굴 사업관리 및 운영지원,스마트시티 혁신기술 발굴 관리·운영
2025년 스마트팜 교육훈련장비 및 원격정보 수집장비 (통합센서) 구입,스마트팜 교육훈련·원격수집장비 구입
2025년 스마트팜 혁신밸리 전산시스템 운영 유지보수 용역,스마트팜 혁신밸리 전산시스템 유지보수
